,Missing Values,Percentage Missing
start_date,0,0.0
trial_duration,0,0.0
two_factorial_lte,0,0.0
trial_status,0,0.0
landuse_type,0,0.0
multifactorial_lte,0,0.0
research_theme,0,0.0
one_factorial_lte,0,0.0
farming_category,0,0.0
trial_category,0,0.0
id,0,0.0
index,0,0.0
status,0,0.0
texture_silt,1,0.83
texture_sand,1,0.83
texture,1,0.83
texture_clay,1,0.83
soil_group_wrb,10,8.26
bulk_density,13,10.74
research_parameters,30,24.79
fertilization_levels,53,43.8
size_hectares,54,44.63
experimental_setup,69,57.02
replication,97,80.17
randomization,115,95.04
doi,116,95.87
number_plots,116,95.87
