;Missing Values;Percentage Missing;;;
index;0;0;;;
id;0;0;;;
country;0;0;;;
name;0;0;;;
trial_institution;76;11.18;;;
holder_category;79;11.62;;;
site;6;0.88;;extract;
;;;;;
;;;;;
longitude;0;0;;extract;confirm
latitude;0;0;;extract;
;;;;;
;;;;;
start_date;0;0;;;
trial_duration;0;0;;;
status;1;0.15;;;
trial_status;5;0.74;;;
research_theme;61;8.97;;;
landuse_type;12;1.76;;;
trial_category;100;14.71;;;
fertilization_trial;73;10.74;;;
crop_rotation_trial;85;12.5;;;
tillage_trial;95;13.97;;;
cover_crop_trial;;No;No;;
irrigation_trial;;No;No;;
pest_weed_trial;;No;No;;
grazing_trial;;No;No;;
other_trial;;Yes;No;;
texture_clay;59;8.68;;;
texture_sand;63;9.26;;;
texture_silt;64;9.41;;;
;;;;;
;;;;;
;;;;;
miscellaneous;25;3.68;;;ignore
sources;107;15.74;;;
